sex,age_grp,alloc,alloc_pc,se.alloc,se.alloc_pc,year,method
female,0-4,333.91157336455,244.595587421053,17.3795043394239,13.0725407674702,2018,nta_utilization
male,0-4,346.287227522589,255.201169906304,20.6686276219342,15.2223010787209,2018,nta_utilization
female,15-29,238.538550828625,287.752389474468,11.4147494237444,15.0167946487928,2018,nta_utilization
male,15-29,150.423466320581,256.900074230981,6.93828729380267,11.321217539483,2018,nta_utilization
female,30-44,311.621548309925,283.751645660488,11.8239547349906,13.3423961327604,2018,nta_utilization
male,30-44,187.338933514333,290.385137109162,7.21389496791763,11.9555825570421,2018,nta_utilization
female,45-59,560.089570854838,412.297601189238,24.9024813750327,18.977790144745,2018,nta_utilization
male,45-59,282.697409301296,320.580677430972,12.3011431724721,14.1086604905555,2018,nta_utilization
female,5-14,177.842402417657,209.648544256931,12.1194298887879,14.8525821851795,2018,nta_utilization
male,5-14,158.243543564758,195.688629459677,6.42297493926515,8.26005785737917,2018,nta_utilization
female,60-64,754.793254259135,561.272380154128,52.2286484668142,40.5069283825352,2018,nta_utilization
male,60-64,519.909767726849,486.665990128182,38.9767402942605,38.8909611961262,2018,nta_utilization
female,65-74,900.589941037732,648.782445282909,94.943007144884,72.5986828095186,2018,nta_utilization
male,65-74,600.822283371297,618.180893423534,55.2002301520994,55.1720416022116,2018,nta_utilization
female,75-84,774.951769482159,592.004708113792,72.1072223689881,56.8233047801976,2018,nta_utilization
male,75-84,661.639247619322,649.056774123702,110.235149795027,117.311977058779,2018,nta_utilization
female,85+,778.9478573638,680.923282628446,122.708036935354,114.432393343265,2018,nta_utilization
male,85+,528.037679431894,536.788539911793,69.1322439708981,73.3186732596139,2018,nta_utilization
female,0-4,462.464778249241,339.799243856829,22.0988903671002,17.3707005536485,2020,nta_utilization
male,0-4,440.772115847087,325.13841307533,18.2111383359972,13.3021475673448,2020,nta_utilization
female,15-29,324.852778092193,389.87858909893,10.7127296078904,13.0004597194099,2020,nta_utilization
male,15-29,222.186253703522,378.557361329793,10.0061901150482,15.2859922408351,2020,nta_utilization
female,30-44,480.530369154467,435.378796730115,19.1478333841035,18.7239236861907,2020,nta_utilization
male,30-44,289.949869722728,434.653231464036,19.3832892386059,22.3905604439005,2020,nta_utilization
female,45-59,761.301872941176,552.925175542294,25.5725809229775,18.3295745972315,2020,nta_utilization
male,45-59,442.758438819563,498.960152330546,17.5291116679915,19.0046398298879,2020,nta_utilization
female,5-14,240.09522994762,280.189347354493,9.93315078252541,11.9875678048479,2020,nta_utilization
male,5-14,233.139751835446,287.912821937702,7.52281987094962,9.21167774279895,2020,nta_utilization
female,60-64,879.74013153529,633.1398387811,55.8722613717162,35.6955161416597,2020,nta_utilization
male,60-64,682.028150960146,631.275029355578,39.216269573934,39.0931433171825,2020,nta_utilization
female,65-74,1165.19844981821,859.620850944353,78.1517404136655,61.0885360674359,2020,nta_utilization
male,65-74,684.509205630606,718.279292616911,36.7490911956724,42.0663067494462,2020,nta_utilization
female,75-84,1168.52919539692,911.770307466885,82.4485622995242,75.5147842474508,2020,nta_utilization
male,75-84,873.783281962905,852.600206983188,79.2561345385244,85.3618240799948,2020,nta_utilization
female,85+,935.698894939705,816.550100985341,88.27117709024,81.7172383736611,2020,nta_utilization
male,85+,920.209396351332,913.366739060926,132.936506021762,132.07122085616,2020,nta_utilization
female,0-4,495.925756620664,424.334432376318,99.8302636780556,85.0318905655144,2022,nta_utilization
male,0-4,414.924527924758,337.790757245514,23.8131759670179,19.2583138030859,2022,nta_utilization
female,15-29,283.486671015637,370.816666846488,10.1751341729126,15.2868792854438,2022,nta_utilization
male,15-29,211.89469605807,348.117981809797,9.68341620360776,16.8915371021679,2022,nta_utilization
female,30-44,422.132688904198,398.773138893763,30.0123408838765,28.1383347822957,2022,nta_utilization
male,30-44,281.943675306119,382.43103344906,21.4192196041673,29.5946146788828,2022,nta_utilization
female,45-59,629.135085281881,482.754592283109,23.2036183801927,18.0650747880811,2022,nta_utilization
male,45-59,443.579951384148,443.134002844037,17.4036488029404,17.4751682271173,2022,nta_utilization
female,5-14,202.189827139746,258.770502006167,7.65945969065581,9.67027471739912,2022,nta_utilization
male,5-14,202.572829118807,264.149525072453,8.15189824983848,10.9387950145844,2022,nta_utilization
female,60-64,929.504960168565,700.139882011477,75.1299780533623,55.9486909432978,2022,nta_utilization
male,60-64,710.072155094769,635.773339480593,53.4034359010558,52.7505760069414,2022,nta_utilization
female,65-74,1066.5419925085,815.732609457561,55.7808641659038,46.654099190371,2022,nta_utilization
male,65-74,830.558604274956,805.215309995431,56.3492659160786,53.7961711551583,2022,nta_utilization
female,75-84,1236.66248147979,1003.08935625349,99.9351359882151,92.7358476399738,2022,nta_utilization
male,75-84,908.058255873697,867.74904280285,75.2864290138051,78.6294065001532,2022,nta_utilization
female,85+,1118.59789059864,968.333266405987,154.477633260236,150.644238575031,2022,nta_utilization
male,85+,1045.61188544906,999.38668513472,144.545800131174,147.03237849702,2022,nta_utilization
female,0-4,404.903199399509,346.609631589198,27.2250581544469,22.2359186472546,2024,nta_utilization
male,0-4,432.279433766658,351.893573641383,23.2271538123596,18.5444841015641,2024,nta_utilization
female,15-29,294.576185305082,379.785562534552,9.46404759687812,12.7983636826035,2024,nta_utilization
male,15-29,227.877670707903,373.63791981321,7.52115548986111,12.150090890552,2024,nta_utilization
female,30-44,453.241728882141,433.676625670017,13.4757624516057,13.9348162131947,2024,nta_utilization
male,30-44,342.355252179006,465.598632768457,13.2834895705276,17.8905883882629,2024,nta_utilization
female,45-59,697.408629752558,553.715335229878,19.7744649020975,19.1891826194416,2024,nta_utilization
male,45-59,504.723441918993,508.382061192663,18.2431600793518,19.5367516118,2024,nta_utilization
female,5-14,204.150941088686,265.624091025694,6.78176708015128,10.2082790823344,2024,nta_utilization
male,5-14,217.502904444902,281.698668163399,8.00752829171557,9.88216330400788,2024,nta_utilization
female,60-64,915.63770973478,716.768617433686,42.2570766235068,40.4876961572801,2024,nta_utilization
male,60-64,788.424559195395,681.628509160728,50.68688158625,42.3333575755387,2024,nta_utilization
female,65-74,1240.93143851292,1005.4804846501,82.6565780375576,81.4251721657506,2024,nta_utilization
male,65-74,908.216417937419,872.320171806585,81.2881398821165,80.4593832278979,2024,nta_utilization
female,75-84,1501.17621419221,1260.67036102138,131.630105289094,131.32669587997,2024,nta_utilization
male,75-84,1099.00027825803,1073.68001162719,102.668240819982,110.030488702419,2024,nta_utilization
female,85+,1403.27716537526,1144.19657518184,201.376498856567,151.572994514219,2024,nta_utilization
male,85+,1481.96012077353,1477.31732214907,271.033350654392,265.146047048547,2024,nta_utilization
