concepto,mdp_2024,mdp_2025,dif_nominal_mdp,dif_real_mdp,var_real_pct
TG 1 gasto corriente,4196212.9,4249183.8,52970.9,-127466.3,-2.9
TG 5 participaciones,1259428.8,1336683.3,77254.4,23099.0,1.8
TG 4 PENSIONES Y JUBILACIONES,1165345.6,1280032.7,114687.1,64577.2,5.3
TG 2 capital e inversion financiera,421214.9,372398.1,-48816.8,-66929.1,-15.2
TG 3 inversion fisica y provisiones,352612.8,323303.9,-29308.9,-44471.3,-12.1
TG 7 subsidios,23301.8,22467.2,-834.6,-1836.6,-7.6
TG 0 aportaciones a fideicomisos,11015.9,11017.6,1.7,-472.0,-4.1
TG 9 aportaciones a fideicomisos (otros),2438.3,8875.8,6437.5,6332.6,249.0
