objeto,mdp_2024,mdp_2025,fuente,que_es
Endeudamiento neto interno del Gobierno Federal (techo),1990000.0,1580000.0,ILIF art. 2o.,"autorización, no gasto"
"Endeudamiento neto externo del sector público (techo, millones de dólares)",18000.0,15500.0,ILIF art. 2o.,"en dólares, no en pesos"
Endeudamiento neto interno del Gobierno Federal (partida informativa),1906069.4,1576170.0,LIF art. 1o. renglón 0.01.01,lo que se preve ejercer
Déficit presupuestario,1693000.0,1170566.5,DEC art. 2 y CGPE,"el flujo, distinto de los dos anteriores"
