concepto,mdp_2024,mdp_2025,dif_nominal_mdp,dif_real_mdp,var_real_pct
GYR Instituto Mexicano del Seguro Social,1345950.7,1469410.4,123459.7,65583.8,4.7
TYY Pemex Consolidado,624805.6,612145.9,-12659.7,-39526.3,-6.1
TVV CFE Consolidado,528532.7,583951.1,55418.5,32691.6,5.9
GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,475829.0,525615.4,49786.4,29325.7,5.9
