concepto,mdp_2024,mdp_2025,dif_nominal_mdp,dif_real_mdp,var_real_pct
Entidades de control directo (pago directo),1343107.4,1505658.9,162551.4,104797.8,7.5
"Gobierno Federal, pago directo (sin 45203)",155931.2,132006.3,-23924.9,-30630.0,-18.8
CONSOLIDADO (clasificacion economica),1499038.6,1637665.1,138626.5,74167.8,4.7
Partida informativa: transferencias del GF a las entidades (45203),1009414.4,1148026.4,138612.0,95207.2,9.0
  ... GYN Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,342043.9,390767.1,48723.2,34015.3,9.5
  ... GYR Instituto Mexicano del Seguro Social,870981.7,966726.3,95744.5,58292.3,6.4
  ... TVV CFE Consolidado,55961.3,64337.9,8376.5,5970.2,10.2
  ... TYY Pemex Consolidado,74120.5,83827.6,9707.2,6520.0,8.4
