ticker,loe_major,years_to_major_LOE,pe_trailing,pe_trailing_xs_dev_pct,pe_trailing_oh_z,pe_trailing_oh_std,pe_trailing_oh_n,pe_forward,pe_forward_xs_dev_pct,pe_forward_oh_z,pe_forward_oh_std,pe_forward_oh_n,ev_ebitda,ev_ebitda_xs_dev_pct,ev_ebitda_oh_z,ev_ebitda_oh_std,ev_ebitda_oh_n,ev_sales,ev_sales_xs_dev_pct,ev_sales_oh_z,ev_sales_oh_std,ev_sales_oh_n,ev_fcf,ev_fcf_xs_dev_pct,ev_fcf_oh_z,ev_fcf_oh_std,ev_fcf_oh_n,price_book,price_book_xs_dev_pct,price_book_oh_z,price_book_oh_std,price_book_oh_n,dividend_yield,dividend_yield_xs_dev_pct,dividend_yield_oh_z,dividend_yield_oh_std,dividend_yield_oh_n,gross_margin,gross_margin_xs_dev_pct,gross_margin_oh_z,gross_margin_oh_std,gross_margin_oh_n,operating_margin,operating_margin_xs_dev_pct,operating_margin_oh_z,operating_margin_oh_std,operating_margin_oh_n,net_margin,net_margin_xs_dev_pct,net_margin_oh_z,net_margin_oh_std,net_margin_oh_n,roe,roe_xs_dev_pct,roe_oh_z,roe_oh_std,roe_oh_n,roic,roic_xs_dev_pct,roic_oh_z,roic_oh_std,roic_oh_n,net_debt_ebitda,net_debt_ebitda_xs_dev_pct,net_debt_ebitda_oh_z,net_debt_ebitda_oh_std,net_debt_ebitda_oh_n,interest_coverage,interest_coverage_xs_dev_pct,interest_coverage_oh_z,interest_coverage_oh_std,interest_coverage_oh_n,current_ratio,current_ratio_xs_dev_pct,current_ratio_oh_z,current_ratio_oh_std,current_ratio_oh_n,rnd_sales,rnd_sales_xs_dev_pct,rnd_sales_oh_z,rnd_sales_oh_std,rnd_sales_oh_n,capex_sales,capex_sales_xs_dev_pct,capex_sales_oh_z,capex_sales_oh_std,capex_sales_oh_n,fcf_conversion,fcf_conversion_xs_dev_pct,fcf_conversion_oh_z,fcf_conversion_oh_std,fcf_conversion_oh_n,revenue_cagr_3y,revenue_cagr_3y_xs_dev_pct,revenue_cagr_3y_oh_z,revenue_cagr_3y_oh_std,revenue_cagr_3y_oh_n,eps_growth_3y,eps_growth_3y_xs_dev_pct,eps_growth_3y_oh_z,eps_growth_3y_oh_std,eps_growth_3y_oh_n
LLY,2033?,7?,39.6826,31.3677,-1.3520,19.0441,3,24.9346,30.7431,NA,NA,0,26.3240,53.7437,-4.9210,3.1363,3,13.7810,137.7674,-1.4089,1.5870,3,184.0882,442.2177,NA,NA,2,31.0552,460.4500,-2.3239,7.5281,3,0.0069,-70.5975,-0.5730,0.0014,3,0.8304,15.2305,2.0461,0.0186,3,0.4556,84.4054,3.9271,0.0390,3,0.3167,60.6035,2.7777,0.0352,3,0.7778,336.3631,1.8208,0.1052,3,0.3450,153.1729,3.4827,0.0291,3,1.1118,6.4106,-4.0812,0.1244,3,21.8294,39.3530,NA,NA,2,1.5791,33.3495,6.1091,0.0862,3,0.2046,21.7108,-3.8806,0.0122,3,0.1664,136.8718,-0.4251,0.0473,3,0.2890,-64.2341,0.4572,0.5465,3,0.3169,242.5047,NA,NA,0,0.5171,386.3506,NA,NA,0
JNJ,2029?,3?,30.2030,-0.0140,0.7964,6.8509,3,21.1538,10.9186,NA,NA,0,18.8030,9.8178,1.6553,1.4195,3,6.6960,15.5280,2.6516,0.8261,3,33.9510,0.0000,3.6180,3.4186,3,7.3787,33.1626,4.0548,0.4668,3,0.0201,-14.7262,-3.0643,0.0036,3,0.6788,-5.8122,-6.7372,0.0018,3,0.2717,9.9858,1.3025,0.0102,3,0.2846,44.3225,0.5591,0.1078,3,0.3287,84.4017,0.6778,0.1403,3,0.2132,56.4283,22.3049,0.0032,3,0.6779,-35.1162,1.2224,0.1547,3,34.5541,120.5842,0.4919,23.2809,3,1.0277,-13.2171,-1.1932,0.0696,3,0.1557,-7.3934,-2.6626,0.0081,3,0.0554,-21.1805,-0.4304,0.0081,3,0.7205,-10.8151,-0.7438,0.3191,3,0.0560,-39.4781,NA,NA,0,0.1790,68.3612,NA,NA,0
AMGN,2028?,2?,25.7734,-14.6780,0.4931,5.7107,3,17.1013,-10.3302,NA,NA,0,15.5080,-9.4265,28.7360,0.0509,3,7.0300,21.2905,0.8073,0.7134,3,33.0606,-2.6225,3.0350,4.5212,3,19.2049,246.5888,-0.8362,6.6243,3,0.0236,0.0000,-2.7896,0.0023,3,0.6725,-6.6885,-0.4776,0.0581,3,0.2471,0.0000,-0.5520,0.0599,3,0.2098,6.4130,-0.4966,0.0573,3,0.8906,399.6323,-0.4130,0.4532,3,0.1593,16.8892,0.9064,0.0329,3,2.6911,157.5794,-1.6410,0.5559,3,4.2581,-72.8175,0.3364,1.5633,3,1.1400,-3.7333,-1.7012,0.1612,3,0.1979,17.6964,6.3414,0.0044,3,0.0506,-28.0538,5.4938,0.0027,3,1.0504,30.0216,-0.4596,0.6317,3,0.1177,27.1815,NA,NA,0,0.0552,-48.0428,NA,NA,0
PFE,2027?,1?,35.2500,16.6938,0.5539,29.8426,3,9.2526,-51.4845,NA,NA,0,8.0670,-52.8852,-0.3843,6.7879,3,3.2150,-44.5307,0.5212,0.3330,3,22.5644,-33.5382,0.1960,14.7347,3,1.7925,-67.6518,-0.0572,0.5880,3,0.0642,172.0179,0.5281,0.0139,3,0.7433,3.1330,1.4577,0.0567,3,0.2782,12.5845,0.3510,0.1236,3,0.1242,-37.0202,-0.0179,0.1142,3,0.0899,-49.5874,-0.0091,0.1304,3,0.0677,-50.2931,-0.0557,0.0978,3,3.0010,187.2321,0.2587,2.3941,3,3.8154,-75.6433,0.0175,12.5292,3,1.1599,-2.0507,-0.0830,0.1366,3,0.1668,-0.7968,-0.1126,0.0294,3,0.0420,-40.2148,-0.2687,0.0138,3,1.1678,44.5476,-0.0941,0.6040,3,-0.1480,-259.9454,NA,NA,0,-0.3712,-449.0979,NA,NA,0
MRK,2028?,2?,108.6720,259.7547,0.2562,348.4293,3,14.2092,-25.4948,NA,NA,0,13.2300,-22.7310,-0.0535,14.9800,3,5.7380,-1.0007,1.9171,0.3616,3,30.9030,-8.9774,1.3914,7.5949,3,7.9972,44.3241,2.3685,0.7916,3,0.0247,4.7981,-0.8578,0.0026,3,0.7480,3.7934,0.6986,0.0233,3,0.3401,37.6342,0.2557,0.1238,3,0.2808,42.4047,0.3038,0.1181,3,0.3470,94.6615,0.1975,0.1585,3,0.1907,39.9172,-0.1102,0.0892,3,1.2304,17.7675,0.2128,1.5006,3,16.5247,5.4893,-0.0230,6.9728,3,1.5362,29.7258,1.8952,0.0905,3,0.2429,44.4596,-0.3020,0.1215,3,0.0633,-9.9886,-0.1150,0.0088,3,0.6771,-16.1889,-0.0336,11.3204,3,0.0312,-66.2524,NA,NA,0,0.0843,-20.6813,NA,NA,0
VRTX,2037?,11?,29.5070,-2.3181,NA,NA,2,23.1983,21.6392,NA,NA,0,23.9810,40.0596,0.0395,87.8442,3,9.7170,67.6501,0.7196,1.0068,3,38.2970,12.8010,NA,NA,2,6.3281,14.2030,0.9050,0.4021,3,NA,NA,NA,NA,0,0.8624,19.6667,-1.3149,0.0074,3,0.3795,53.5982,-0.0165,0.2158,3,0.3294,67.0604,-0.1896,0.1970,3,0.2118,18.8118,0.0488,0.1209,3,0.1916,40.5571,-0.0745,0.0975,3,-0.9407,-190.0353,0.4150,3.1800,3,350.1128,2135.0296,6.9990,38.8452,3,2.9009,144.9698,-1.2373,0.8780,3,0.3368,100.3551,-0.1876,0.1975,3,0.0365,-48.1104,1.1071,0.0093,3,0.8079,0.0000,NA,NA,2,0.1035,11.8954,NA,NA,0,0.0612,-42.4590,NA,NA,0
NVO,2031?,5?,11.3309,-62.4896,NA,NA,0,13.6072,-28.6512,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0.0405,71.6339,NA,NA,0,0.8098,12.3652,-10.7627,0.0034,3,0.4130,67.1795,-3.1872,0.0090,3,0.3314,68.0927,-0.8305,0.0196,3,0.5279,196.1383,-3.5113,0.0501,3,0.3253,138.7174,-2.1161,0.0877,3,0.6635,-36.4902,2.5946,0.2447,3,32.0292,104.4664,-2.9058,52.1975,3,0.7996,-32.4730,-0.3802,0.0617,3,0.1684,0.1519,2.1811,0.0132,3,0.2916,314.9258,2.9559,0.0420,3,0.2830,-64.9708,-2.8508,0.1942,3,0.2043,120.8092,NA,NA,0,0.2352,121.2094,NA,NA,0
AZN,2030?,4?,23.4207,-22.4668,-0.7625,15.2702,3,13.5104,-29.1592,NA,NA,0,13.5710,-20.7394,-0.7858,4.6650,3,4.4020,-24.0511,-1.4357,0.4515,3,31.1547,-8.2363,-0.6239,1.6803,3,4.8247,-12.9295,-1.7995,0.2833,3,0.0138,-41.6944,-9.1721,0.0008,3,0.8190,13.6407,0.1728,0.0448,3,0.2269,-8.1690,0.8968,0.0416,3,0.1741,-11.7144,1.6726,0.0264,3,0.2101,17.8653,1.6262,0.0356,3,0.1486,9.0488,1.5082,0.0266,3,1.2012,14.9682,-1.1441,0.4184,3,8.6840,-44.5635,2.3941,1.3961,3,0.9381,-20.7781,1.7921,0.0440,3,0.2423,44.1179,0.2814,0.0128,3,0.1005,43.0621,1.4878,0.0121,3,0.8479,4.9535,-0.4767,0.5346,3,0.0982,6.1238,NA,NA,0,0.4580,330.7614,NA,NA,0
NVS,2029?,3?,22.7915,-24.5494,1.1103,6.0309,3,15.3819,-19.3459,NA,NA,0,14.2250,-16.9198,1.5298,1.4648,3,5.7960,0.0000,4.0735,0.2842,3,21.5547,-36.5123,3.3489,1.4189,3,6.9034,24.5843,4.6697,0.5439,3,0.0316,34.0298,-3.7074,0.0020,3,0.7583,5.2188,2.7797,0.0089,3,0.3113,26.0075,2.4537,0.0416,3,0.2467,25.1413,0.2453,0.0647,3,0.3031,70.0612,0.3733,0.0858,3,0.1834,34.5352,1.4419,0.0381,3,1.0448,0.0000,3.6587,0.1001,3,15.2937,-2.3689,1.9135,1.8937,3,1.1167,-5.7035,-0.3717,0.1032,3,0.1976,17.5473,-0.6481,0.0207,3,0.0688,-2.0708,1.0629,0.0092,3,1.0901,34.9300,-0.1713,0.3853,3,0.0925,0.0000,NA,NA,0,0.3114,192.9029,NA,NA,0
ROG.SW,2028?,2?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
