ticker,loe_major,years_to_major_LOE,pe_trailing,pe_trailing_xs_dev_pct,pe_trailing_oh_z,pe_trailing_oh_std,pe_trailing_oh_n,pe_forward,pe_forward_xs_dev_pct,pe_forward_oh_z,pe_forward_oh_std,pe_forward_oh_n,ev_ebitda,ev_ebitda_xs_dev_pct,ev_ebitda_oh_z,ev_ebitda_oh_std,ev_ebitda_oh_n,ev_sales,ev_sales_xs_dev_pct,ev_sales_oh_z,ev_sales_oh_std,ev_sales_oh_n,ev_fcf,ev_fcf_xs_dev_pct,ev_fcf_oh_z,ev_fcf_oh_std,ev_fcf_oh_n,price_book,price_book_xs_dev_pct,price_book_oh_z,price_book_oh_std,price_book_oh_n,dividend_yield,dividend_yield_xs_dev_pct,dividend_yield_oh_z,dividend_yield_oh_std,dividend_yield_oh_n,gross_margin,gross_margin_xs_dev_pct,gross_margin_oh_z,gross_margin_oh_std,gross_margin_oh_n,operating_margin,operating_margin_xs_dev_pct,operating_margin_oh_z,operating_margin_oh_std,operating_margin_oh_n,net_margin,net_margin_xs_dev_pct,net_margin_oh_z,net_margin_oh_std,net_margin_oh_n,roe,roe_xs_dev_pct,roe_oh_z,roe_oh_std,roe_oh_n,roic,roic_xs_dev_pct,roic_oh_z,roic_oh_std,roic_oh_n,net_debt_ebitda,net_debt_ebitda_xs_dev_pct,net_debt_ebitda_oh_z,net_debt_ebitda_oh_std,net_debt_ebitda_oh_n,interest_coverage,interest_coverage_xs_dev_pct,interest_coverage_oh_z,interest_coverage_oh_std,interest_coverage_oh_n,current_ratio,current_ratio_xs_dev_pct,current_ratio_oh_z,current_ratio_oh_std,current_ratio_oh_n,rnd_sales,rnd_sales_xs_dev_pct,rnd_sales_oh_z,rnd_sales_oh_std,rnd_sales_oh_n,capex_sales,capex_sales_xs_dev_pct,capex_sales_oh_z,capex_sales_oh_std,capex_sales_oh_n,fcf_conversion,fcf_conversion_xs_dev_pct,fcf_conversion_oh_z,fcf_conversion_oh_std,fcf_conversion_oh_n,revenue_cagr_3y,revenue_cagr_3y_xs_dev_pct,revenue_cagr_3y_oh_z,revenue_cagr_3y_oh_std,revenue_cagr_3y_oh_n,eps_growth_3y,eps_growth_3y_xs_dev_pct,eps_growth_3y_oh_z,eps_growth_3y_oh_std,eps_growth_3y_oh_n
LLY,2033?,7?,41.1043,33.6187,-1.2773,19.0441,3,25.8974,34.5809,NA,NA,0,27.2980,66.6646,-4.6104,3.1363,3,14.2910,145.7187,-1.0875,1.5870,3,190.8989,453.1191,NA,NA,2,32.2544,486.9544,-2.1646,7.5281,3,0.0055,-74.2376,-1.6065,0.0014,3,0.8304,13.9182,2.0461,0.0186,3,0.4556,75.6360,3.9271,0.0390,3,0.3167,58.1480,2.7777,0.0352,3,0.7778,300.5805,1.8208,0.1052,3,0.3450,142.2142,3.4827,0.0291,3,1.1118,11.4356,-4.0812,0.1244,3,21.8294,41.0234,NA,NA,2,1.5791,23.0164,6.1091,0.0862,3,0.2046,21.5262,-3.8806,0.0122,3,0.1664,128.0065,-0.4251,0.0473,3,0.2890,-64.3726,0.4572,0.5465,3,0.3169,309.2613,NA,NA,0,0.5171,442.4425,NA,NA,0
JNJ,2029?,3?,31.4148,2.1209,0.9733,6.8509,3,22.0280,14.4731,NA,NA,0,19.5470,19.3418,2.1794,1.4195,3,6.9600,19.6699,2.9712,0.8261,3,35.2936,2.2613,4.0108,3.4186,3,7.6837,39.8246,4.7080,0.4668,3,0.0193,-8.7693,-3.2854,0.0036,3,0.6788,-6.8848,-6.7372,0.0018,3,0.2717,4.7555,1.3025,0.0102,3,0.2846,42.1159,0.5591,0.1078,3,0.3287,69.2805,0.6778,0.1403,3,0.2132,49.6572,22.3049,0.0032,3,0.6779,-32.0521,1.2224,0.1547,3,34.5541,123.2283,0.4919,23.2809,3,1.0277,-19.9417,-1.1932,0.0696,3,0.1557,-7.5338,-2.6626,0.0081,3,0.0554,-24.1305,-0.4304,0.0081,3,0.7205,-11.1605,-0.7438,0.3191,3,0.0560,-27.6819,NA,NA,0,0.1790,87.7787,NA,NA,0
AMGN,2028?,2?,26.4149,-14.1324,0.6054,5.7107,3,17.4481,-9.3273,NA,NA,0,15.8230,-3.3946,34.9217,0.0509,3,7.1720,23.3150,1.0064,0.7134,3,33.7327,-2.2613,3.1837,4.5212,3,19.6707,257.9606,-0.7659,6.6243,3,0.0230,8.7693,-3.0364,0.0023,3,0.6725,-7.7512,-0.4776,0.0581,3,0.2471,-4.7555,-0.5520,0.0599,3,0.2098,4.7860,-0.4966,0.0573,3,0.8906,358.6616,-0.4130,0.4532,3,0.1593,11.8296,0.9064,0.0329,3,2.6911,169.7432,-1.6410,0.5559,3,4.2581,-72.4917,0.3364,1.5633,3,1.1400,-11.1929,-1.7012,0.1612,3,0.1979,17.5179,6.3414,0.0044,3,0.0506,-30.7465,5.4938,0.0027,3,1.0504,29.5180,-0.4596,0.6317,3,0.1177,51.9701,NA,NA,0,0.0552,-42.0505,NA,NA,0
PFE,2027?,1?,35.8553,16.5556,0.5742,29.8426,3,9.4115,-51.0914,NA,NA,0,8.1710,-50.1129,-0.3690,6.7879,3,3.2560,-44.0165,0.6444,0.3330,3,22.8533,-33.7837,0.2156,14.7347,3,1.8232,-66.8214,-0.0049,0.5880,3,0.0631,197.9320,0.4499,0.0139,3,0.7433,1.9584,1.4577,0.0567,3,0.2782,7.2306,0.3510,0.1236,3,0.1242,-37.9831,-0.0179,0.1142,3,0.0899,-53.7214,-0.0091,0.1304,3,0.0677,-52.4447,-0.0557,0.0978,3,3.0010,200.7962,0.2587,2.3941,3,3.8154,-75.3514,0.0175,12.5292,3,1.1599,-9.6407,-0.0830,0.1366,3,0.1668,-0.9472,-0.1126,0.0294,3,0.0420,-42.4524,-0.2687,0.0138,3,1.1678,43.9878,-0.0941,0.6040,3,-0.1480,-291.1199,NA,NA,0,-0.3712,-489.3602,NA,NA,0
MRK,2028?,2?,108.1360,251.5203,0.2547,348.4293,3,14.1391,-26.5232,NA,NA,0,13.1730,-19.5738,-0.0573,14.9800,3,5.7130,-1.7710,1.8480,0.3616,3,30.7693,-10.8476,1.3738,7.5949,3,7.9577,44.8122,2.3187,0.7916,3,0.0249,17.3314,-0.8108,0.0026,3,0.7480,2.6113,0.6986,0.0233,3,0.3401,31.0890,0.2557,0.1238,3,0.2808,40.2274,0.3038,0.1181,3,0.3470,78.6989,0.1975,0.1585,3,0.1907,33.8608,-0.1102,0.0892,3,1.2304,23.3289,0.2128,1.5006,3,16.5247,6.7538,-0.0230,6.9728,3,1.5362,19.6736,1.8952,0.0905,3,0.2429,44.2405,-0.3020,0.1215,3,0.0633,-13.3574,-0.1150,0.0088,3,0.6771,-16.5135,-0.0336,11.3204,3,0.0312,-59.6748,NA,NA,0,0.0843,-11.5332,NA,NA,0
VRTX,2037?,11?,30.7624,0.0000,NA,NA,2,24.2110,25.8172,NA,NA,0,25.0960,53.2206,0.0522,87.8442,3,10.1690,74.8453,1.1685,1.0068,3,40.0779,16.1235,NA,NA,2,6.6089,20.2667,1.6033,0.4021,3,NA,NA,NA,NA,0,0.8624,18.3038,-1.3149,0.0074,3,0.3795,46.2939,-0.0165,0.2158,3,0.3294,64.5062,-0.1896,0.1970,3,0.2118,9.0690,0.0488,0.1209,3,0.1916,34.4730,-0.0745,0.0975,3,-0.9407,-194.2870,0.4150,3.1800,3,350.1128,2161.8200,6.9990,38.8452,3,2.9009,125.9875,-1.2373,0.8780,3,0.3368,100.0512,-0.1876,0.1975,3,0.0365,-50.0524,1.1071,0.0093,3,0.8079,-0.3873,NA,NA,2,0.1035,33.7046,NA,NA,0,0.0612,-35.8227,NA,NA,0
NVO,2031?,5?,11.2864,-63.3110,NA,NA,0,13.4127,-30.2984,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0.0533,151.7548,NA,NA,0,0.8098,11.0855,-10.7627,0.0034,3,0.4130,59.2293,-3.1872,0.0090,3,0.3314,65.5226,-0.8305,0.0196,3,0.5279,171.8544,-3.5113,0.0501,3,0.3253,128.3844,-2.1161,0.0877,3,0.6635,-33.4910,2.5946,0.2447,3,32.0292,106.9172,-2.9058,52.1975,3,0.7996,-37.7056,-0.3802,0.0617,3,0.1684,0.0000,2.1811,0.0132,3,0.2916,299.3965,2.9559,0.0420,3,0.2830,-65.1065,-2.8508,0.1942,3,0.2043,163.8465,NA,NA,0,0.2352,146.7220,NA,NA,0
AZN,2030?,4?,23.9671,-22.0897,-0.7267,15.2702,3,13.8256,-28.1527,NA,NA,0,13.8550,-15.4100,-0.7249,4.6650,3,4.4940,-22.7304,-1.2319,0.4515,3,31.8076,-7.8392,-0.2353,1.6803,3,4.9372,-10.1536,-1.4022,0.2833,3,0.0134,-36.5242,-9.5459,0.0008,3,0.8190,12.3465,0.1728,0.0448,3,0.2269,-12.5360,0.8968,0.0416,3,0.1741,-13.0642,1.6726,0.0264,3,0.2101,8.2002,1.6262,0.0356,3,0.1486,4.3286,1.5082,0.0266,3,1.2012,20.3974,-1.1441,0.4184,3,8.6840,-43.8990,2.3941,1.3961,3,0.9381,-26.9169,1.7921,0.0440,3,0.2423,43.8994,0.2814,0.0128,3,0.1005,37.7078,1.4878,0.0121,3,0.8479,4.5470,-0.4767,0.5346,3,0.0982,26.8081,NA,NA,0,0.4580,380.4422,NA,NA,0
NVS,2029?,3?,23.3107,-24.2233,1.1964,6.0309,3,15.7560,-18.1206,NA,NA,0,14.5270,-11.3072,1.7359,1.4648,3,5.9190,1.7710,4.5063,0.2842,3,22.0123,-36.2206,3.6714,1.4189,3,7.0713,28.6810,4.9785,0.5439,3,0.0309,45.7732,-4.0837,0.0020,3,0.7583,4.0205,2.7797,0.0089,3,0.3113,20.0153,2.4537,0.0416,3,0.2467,23.2280,0.2453,0.0647,3,0.3031,56.1159,0.3733,0.0858,3,0.1834,28.7118,1.4419,0.0381,3,1.0448,4.7223,3.6587,0.1001,3,15.2937,-1.1987,1.9135,1.8937,3,1.1167,-13.0104,-0.3717,0.1032,3,0.1976,17.3691,-0.6481,0.0207,3,0.0688,-5.7360,1.0629,0.0092,3,1.0901,34.4075,-0.1713,0.3853,3,0.0925,19.4907,NA,NA,0,0.3114,226.6841,NA,NA,0
RO.SW,2028?,2?,23.8958,-22.3215,0.2571,3.2507,3,16.7205,-13.1085,NA,NA,0,13.3470,-18.5115,-0.7882,0.9511,3,5.0800,-12.6547,3.2810,0.3952,3,24.4665,-29.1096,1.4846,3.0232,3,8.9394,62.6757,1.1756,1.5570,3,0.0294,38.9663,-1.2925,0.0047,3,0.7373,1.1389,0.4777,0.0165,3,0.2916,12.4200,1.7001,0.0217,3,0.2033,1.5289,0.5436,0.0268,3,0.3810,96.2333,-0.1449,0.0771,3,0.2223,56.0623,0.0475,0.0446,3,0.8162,-18.1923,-1.8469,0.1501,3,13.6100,-12.0761,-0.2402,6.2935,3,1.3831,7.7488,0.3644,0.0982,3,0.2107,25.1636,-4.0946,0.0059,3,0.0912,24.9482,3.0719,0.0047,3,1.0150,25.1455,-0.1385,0.3742,3,-0.0126,-116.2833,NA,NA,0,0.0143,-84.9746,NA,NA,0
