metric,value
K,7.133237
L,6.319668
Y,10.562033
r_annual_pct,3.434422
r_5yr,0.183928
w,1.069629
tau_p,0.158569
pen,0.375875
B,2.795166
B_over_Y,0.264643
C_over_Y,0.508420
M_over_Y,0.028061
A_dom,9.927291
N_W,8.991955
N_R,2.851698
dep_ratio,0.317139
