metric,value
K,5.489411
L,5.159769
Y,8.441753
r_annual_pct,3.791415
r_5yr,0.204501
w,1.047086
tau_p,0.054615
pen,0.233206
B,2.926738
B_over_Y,0.346698
C_over_Y,0.465243
M_over_Y,0.024480
A_dom,8.415244
N_W,6.950162
N_R,1.265274
dep_ratio,0.182050
