metric,value
K,6.450211
L,6.640461
Y,10.514132
r_annual_pct,4.357362
r_5yr,0.237700
w,1.013340
tau_p,0.101250
pen,0.474982
B,3.391143
B_over_Y,0.322532
C_over_Y,0.485722
M_over_Y,0.032008
A_dom,9.840324
N_W,7.083467
N_R,1.434399
dep_ratio,0.202500
