metric,value
K,8.209839
L,8.905791
Y,13.837921
r_annual_pct,4.692038
r_5yr,0.257675
w,0.994439
tau_p,0.101000
pen,0.628888
B,4.284410
B_over_Y,0.309614
C_over_Y,0.496596
M_over_Y,0.028250
A_dom,12.493154
N_W,7.041210
N_R,1.422324
dep_ratio,0.202000
