metric,value
K,5.176692
L,5.036648
Y,8.138595
r_annual_pct,4.003577
r_5yr,0.216862
w,1.034160
tau_p,0.096235
pen,0.371324
B,2.344259
B_over_Y,0.288042
C_over_Y,0.475784
M_over_Y,0.032169
A_dom,7.520077
N_W,7.013692
N_R,1.349931
dep_ratio,0.192471
