metric,value
K,10.488013
L,11.574102
Y,17.873163
r_annual_pct,4.803414
r_5yr,0.264379
w,0.988312
tau_p,0.108302
pen,0.804035
B,5.458899
B_over_Y,0.305424
C_over_Y,0.499943
M_over_Y,0.028908
A_dom,15.948487
N_W,7.113385
N_R,1.540792
dep_ratio,0.216605
