metric,value
K,4.960011
L,4.987155
Y,7.963786
r_annual_pct,4.208532
r_5yr,0.228900
w,1.021990
tau_p,0.092859
pen,0.365104
B,2.621848
B_over_Y,0.329221
C_over_Y,0.481129
M_over_Y,0.027280
A_dom,7.581079
N_W,6.979964
N_R,1.296306
dep_ratio,0.185718
