year,age_band,union_total,married,cohabiting,n_women_weighted,observed_or_interpolated,source,coverage_flag
2017,35-39,0.6553,0.4229,0.2324,174851,observed,"INEC ENAHO 2017 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2018,20-24,0.2521,0.056,0.1961,206406,observed,"INEC ENAHO 2018 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2018,25-29,0.4323,0.1745,0.2578,194441,observed,"INEC ENAHO 2018 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2018,30-34,0.5546,0.3086,0.246,201173,observed,"INEC ENAHO 2018 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2018,35-39,0.6255,0.4085,0.217,190530,observed,"INEC ENAHO 2018 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2019,20-24,0.2344,0.0496,0.1849,192566,observed,"INEC ENAHO 2019 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2019,25-29,0.4194,0.1535,0.2659,194886,observed,"INEC ENAHO 2019 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2019,30-34,0.5537,0.3002,0.2535,204408,observed,"INEC ENAHO 2019 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2019,35-39,0.6221,0.3825,0.2396,194507,observed,"INEC ENAHO 2019 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2020,20-24,0.2301,0.0352,0.1949,188375,observed,"INEC ENAHO 2020 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2020,25-29,0.4177,0.167,0.2507,170396,observed,"INEC ENAHO 2020 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2020,30-34,0.5452,0.2895,0.2557,204572,observed,"INEC ENAHO 2020 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2020,35-39,0.6009,0.3793,0.2216,197816,observed,"INEC ENAHO 2020 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2021,20-24,0.2054,0.0341,0.1713,206672,observed,"INEC ENAHO 2021 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2021,25-29,0.4172,0.1522,0.2651,181842,observed,"INEC ENAHO 2021 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2021,30-34,0.5241,0.2591,0.2651,186317,observed,"INEC ENAHO 2021 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2021,35-39,0.5878,0.3505,0.2373,199074,observed,"INEC ENAHO 2021 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2022,20-24,0.1984,0.0287,0.1697,200074,observed,"INEC ENAHO 2022 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2022,25-29,0.4086,0.138,0.2706,178963,observed,"INEC ENAHO 2022 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2022,30-34,0.4942,0.2417,0.2525,179884,observed,"INEC ENAHO 2022 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2022,35-39,0.5888,0.3603,0.2285,213451,observed,"INEC ENAHO 2022 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2023,20-24,0.1923,0.0275,0.1648,187687,observed,"INEC ENAHO 2023 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2023,25-29,0.3911,0.1272,0.2639,184573,observed,"INEC ENAHO 2023 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2023,30-34,0.5009,0.2227,0.2782,177728,observed,"INEC ENAHO 2023 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2023,35-39,0.5662,0.3166,0.2496,207473,observed,"INEC ENAHO 2023 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2024,20-24,0.2109,0.0313,0.1796,194607,observed,"INEC ENAHO 2024 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2024,25-29,0.3639,0.1058,0.258,182285,observed,"INEC ENAHO 2024 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2024,30-34,0.4639,0.2161,0.2478,187751,observed,"INEC ENAHO 2024 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
2024,35-39,0.5667,0.3086,0.258,193309,observed,"INEC ENAHO 2024 via REDATAM RpWebStats CrossTab (A6 x EDADQ, women A4=2, weighted VIVIENDA.FACTOR)",national (urban+rural)
