year,union_20_39,married_20_39,cohab_share_of_unions,tfr_implied
2017,0.4964,0.1595,0.679,2.065
2018,0.4915,0.151,0.693,1.991
2019,0.4883,0.1434,0.706,1.802
2020,0.4903,0.1451,0.704,1.525
2021,0.4945,0.1424,0.712,1.504
2022,0.4835,0.1316,0.728,1.398
2023,0.4834,0.1235,0.745,1.292
2024,0.4721,0.1167,0.753,1.151
2025,0.4599,0.1162,0.747,
