year,coupling_20_39,tfr,dCoupling_pts,dTFR
2010,0.5241,1.83,,
2011,0.503,1.87,-2.11,0.04
2012,0.4956,1.84,-0.74,-0.03
2013,0.4732,1.76,-2.24,-0.08
2014,0.4908,1.78,1.76,0.02
2015,0.5107,1.77,1.99,-0.01
2016,0.4921,1.71,-1.87,-0.06
2017,0.4855,1.67,-0.66,-0.04
2018,0.4629,1.66,-2.26,-0.01
2019,0.4591,1.56,-0.37,-0.1
2020,0.4532,1.41,-0.6,-0.15
2021,0.4303,1.32,-2.29,-0.09
2022,0.4239,1.3,-0.64,-0.02
2023,0.4156,1.22,-0.83,-0.08
2024,0.4011,1.12,-1.45,-0.1
