year,age_band,union_total,married,cohabiting,n_women_weighted,observed_or_interpolated,source,coverage_flag,note
2013,30-34,0.6777,0.2369,0.4408,21407848,observed,"DANE GEIH 2013 microdata (catalog 68); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2013,35-39,0.6925,0.2779,0.4145,18443941,observed,"DANE GEIH 2013 microdata (catalog 68); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2014,20-24,0.4441,0.0566,0.3875,24645480,observed,"DANE GEIH 2014 microdata (catalog 328); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2014,25-29,0.604,0.1465,0.4575,21902948,observed,"DANE GEIH 2014 microdata (catalog 328); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2014,30-34,0.6694,0.2269,0.4426,21286642,observed,"DANE GEIH 2014 microdata (catalog 328); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2014,35-39,0.6887,0.2717,0.417,19274920,observed,"DANE GEIH 2014 microdata (catalog 328); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2015,20-24,0.4453,0.0506,0.3947,24999655,observed,"DANE GEIH 2015 microdata (catalog 356); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2015,25-29,0.6011,0.1395,0.4616,22048785,observed,"DANE GEIH 2015 microdata (catalog 356); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2015,30-34,0.6708,0.2227,0.4481,21527655,observed,"DANE GEIH 2015 microdata (catalog 356); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2015,35-39,0.6898,0.2789,0.411,19660979,observed,"DANE GEIH 2015 microdata (catalog 356); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2016,20-24,0.4442,0.0514,0.3927,25514274,observed,"DANE GEIH 2016 microdata (catalog 427); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2016,25-29,0.5979,0.1377,0.4602,22425345,observed,"DANE GEIH 2016 microdata (catalog 427); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2016,30-34,0.6773,0.2244,0.4529,21750003,observed,"DANE GEIH 2016 microdata (catalog 427); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2016,35-39,0.6935,0.272,0.4215,20167077,observed,"DANE GEIH 2016 microdata (catalog 427); P6070 estado civil x P6040 edad, women P6020=2, weighted Fex_c_2011/fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2017,20-24,0.4424,0.052,0.3905,25846823,observed,"DANE GEIH 2017 microdata (catalog 458); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2017,25-29,0.6008,0.1261,0.4747,23273107,observed,"DANE GEIH 2017 microdata (catalog 458); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2017,30-34,0.6762,0.2095,0.4667,21767330,observed,"DANE GEIH 2017 microdata (catalog 458); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2017,35-39,0.6909,0.2646,0.4263,20700687,observed,"DANE GEIH 2017 microdata (catalog 458); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2018,20-24,0.4412,0.0459,0.3954,26133845,observed,"DANE GEIH 2018 microdata (catalog 547); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2018,25-29,0.6017,0.119,0.4827,23712975,observed,"DANE GEIH 2018 microdata (catalog 547); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2018,30-34,0.6867,0.2029,0.4838,22130743,observed,"DANE GEIH 2018 microdata (catalog 547); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2018,35-39,0.6827,0.259,0.4237,20905892,observed,"DANE GEIH 2018 microdata (catalog 547); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2019,20-24,0.4394,0.0352,0.4042,26242097,observed,"DANE GEIH 2019 microdata (catalog 599); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2019,25-29,0.5921,0.1119,0.4802,24295727,observed,"DANE GEIH 2019 microdata (catalog 599); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2019,30-34,0.678,0.2031,0.4749,22423915,observed,"DANE GEIH 2019 microdata (catalog 599); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2019,35-39,0.6906,0.2571,0.4335,21134953,observed,"DANE GEIH 2019 microdata (catalog 599); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national,full-year pooled (12 mo)
2020,20-24,0.4465,0.0303,0.4162,16723788,observed,"DANE GEIH 2020 microdata (catalog 780); P6070 estado civil x P6040 edad, women P6020/p6020=2, weighted FEX_C; pooled 12 mo; domains other",national,full-year pooled (12 mo); 2020 pandemic-reduced GEIH sample (national urban+rural confirmed via CLASE)
2020,25-29,0.5971,0.0982,0.4989,15947298,observed,"DANE GEIH 2020 microdata (catalog 780); P6070 estado civil x P6040 edad, women P6020/p6020=2, weighted FEX_C; pooled 12 mo; domains other",national,full-year pooled (12 mo); 2020 pandemic-reduced GEIH sample (national urban+rural confirmed via CLASE)
2020,30-34,0.6768,0.1804,0.4964,14950195,observed,"DANE GEIH 2020 microdata (catalog 780); P6070 estado civil x P6040 edad, women P6020/p6020=2, weighted FEX_C; pooled 12 mo; domains other",national,full-year pooled (12 mo); 2020 pandemic-reduced GEIH sample (national urban+rural confirmed via CLASE)
2020,35-39,0.6827,0.2413,0.4414,14189987,observed,"DANE GEIH 2020 microdata (catalog 780); P6070 estado civil x P6040 edad, women P6020/p6020=2, weighted FEX_C; pooled 12 mo; domains other",national,full-year pooled (12 mo); 2020 pandemic-reduced GEIH sample (national urban+rural confirmed via CLASE)
2021,20-24,0.4264,0.0268,0.3996,26118754,observed,"DANE GEIH 2021 microdata (catalog 701); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national-splice,full-year pooled (12 mo)
2021,25-29,0.5779,0.0921,0.4858,24307922,observed,"DANE GEIH 2021 microdata (catalog 701); P6070 estado civil x P6040 edad, women P6020=2, weighted fex_c_2011; pooled 12 mo; domains cab+resto",national-splice,full-year pooled (12 mo)
