year,age,sex,pop
2021,24,M,1106315
2021,24,F,1097718
2021,25,M,1103001
2021,25,F,1097309
2021,26,M,1101141
2021,26,F,1098827
2021,27,M,1096825
2021,27,F,1098562
2021,28,M,1088086
2021,28,F,1094778
2021,29,M,1073439
2021,29,F,1085990
2021,30,M,1051010
2021,30,F,1070367
2021,31,M,1022975
2021,31,F,1050002
2021,32,M,995170
2021,32,F,1030357
2021,33,M,969196
2021,33,F,1013420
2021,34,M,943197
2021,34,F,998056
2021,35,M,916097
2021,35,F,983506
2021,36,M,886581
2021,36,F,968321
2021,37,M,854214
2021,37,F,951067
2021,38,M,821756
2021,38,F,932910
2021,39,M,792369
2021,39,F,915177
2021,40,M,768548
2021,40,F,899153
2021,41,M,751440
2021,41,F,885871
2021,42,M,740584
2021,42,F,875386
2021,43,M,735531
2021,43,F,868004
2021,44,M,735361
2021,44,F,863514
2021,45,M,737443
2021,45,F,859865
2021,46,M,737342
2021,46,F,852817
2021,47,M,732575
2021,47,F,840098
2021,48,M,723206
2021,48,F,822478
2021,49,M,710171
2021,49,F,801515
2021,50,M,694551
2021,50,F,778741
2021,51,M,677192
2021,51,F,754997
2021,52,M,659124
2021,52,F,731319
2021,53,M,640390
2021,53,F,707965
2021,54,M,621185
2021,54,F,685061
2021,55,M,602326
2021,55,F,663329
2021,56,M,583343
2021,56,F,642112
2021,57,M,562501
2021,57,F,619333
2021,58,M,539720
2021,58,F,594836
2021,59,M,516323
2021,59,F,570082
2021,60,M,492686
2021,60,F,545255
2021,61,M,468357
2021,61,F,519606
2021,62,M,443535
2021,62,F,493468
2021,63,M,418973
2021,63,F,467800
2021,64,M,395673
2021,64,F,443566
2021,65,M,373501
2021,65,F,420535
2021,66,M,350937
2021,66,F,396801
2021,67,M,326576
2021,67,F,370977
2021,68,M,303013
2021,68,F,345740
2021,69,M,282420
2021,69,F,323404
2021,70,M,264385
2021,70,F,303826
2021,71,M,249649
2021,71,F,287974
2021,72,M,236348
2021,72,F,273819
2021,73,M,222713
2021,73,F,259205
2021,74,M,208936
2021,74,F,244329
2021,75,M,195120
2021,75,F,229348
2021,76,M,181330
2021,76,F,214393
2021,77,M,167099
2021,77,F,198930
2021,78,M,152859
2021,78,F,183361
2021,79,M,139625
2021,79,F,168775
2021,80,M,126963
2021,80,F,154638
2021,81,M,114534
2021,81,F,140562
2021,82,M,102657
2021,82,F,126958
2021,83,M,91507
2021,83,F,114037
2021,84,M,81122
2021,84,F,101830
2021,85,M,71503
2021,85,F,90344
2021,86,M,62686
2021,86,F,79653
2021,87,M,54602
2021,87,F,69721
2021,88,M,47122
2021,88,F,60398
2021,89,M,40212
2021,89,F,51608
2021,90,M,33901
2021,90,F,43480
2021,91,M,28233
2021,91,F,36158
2021,92,M,23209
2021,92,F,29723
2021,93,M,18861
2021,93,F,24185
2021,94,M,15027
2021,94,F,19253
2021,95,M,11691
2021,95,F,14929
2021,96,M,8915
2021,96,F,11351
2021,97,M,6638
2021,97,F,8433
2021,98,M,4836
2021,98,F,6107
2021,99,M,3465
2021,99,F,4310
2021,100,M,2455
2021,100,F,2980
2021,101,M,1726
2021,101,F,2045
2021,102,M,1203
2021,102,F,1400
2021,103,M,825
2021,103,F,945
2021,104,M,552
2021,104,F,615
2021,105,M,357
2021,105,F,378
2021,106,M,224
2021,106,F,221
2021,107,M,135
2021,107,F,124
2021,108,M,80
2021,108,F,68
2021,109,M,24
2021,109,F,23
2022,0,M,1056448
2022,0,F,1017466
2022,1,M,1063227
2022,1,F,1023994
2022,2,M,1063966
2022,2,F,1026168
2022,3,M,1066473
2022,3,F,1028996
2022,4,M,1068093
2022,4,F,1029945
2022,5,M,1074526
2022,5,F,1035792
2022,6,M,1091338
2022,6,F,1051602
2022,7,M,1107056
2022,7,F,1066525
2022,8,M,1116664
2022,8,F,1075851
2022,9,M,1125228
2022,9,F,1084340
2022,10,M,1137212
2022,10,F,1096040
2022,11,M,1150691
2022,11,F,1109058
2022,12,M,1160317
2022,12,F,1118541
2022,13,M,1163380
2022,13,F,1122207
2022,14,M,1159541
2022,14,F,1120710
2022,15,M,1151234
2022,15,F,1116953
2022,16,M,1142452
2022,16,F,1113447
2022,17,M,1136251
2022,17,F,1111724
2022,18,M,1133713
2022,18,F,1112504
2022,19,M,1135544
2022,19,F,1116565
2022,20,M,1140564
2022,20,F,1123048
2022,21,M,1143336
2022,21,F,1127111
2022,22,M,1138035
2022,22,F,1123808
2022,23,M,1123980
2022,23,F,1112594
2022,24,M,1108562
2022,24,F,1100161
2022,25,M,1099259
2022,25,F,1093729
2022,26,M,1095775
2022,26,F,1093337
2022,27,M,1093793
2022,27,F,1094896
2022,28,M,1089447
2022,28,F,1094697
2022,29,M,1080785
2022,29,F,1091010
2022,30,M,1066316
2022,30,F,1082359
2022,31,M,1044153
2022,31,F,1066906
2022,32,M,1016434
2022,32,F,1046714
2022,33,M,988940
2022,33,F,1027212
2022,34,M,963255
2022,34,F,1010372
2022,35,M,937522
2022,35,F,995060
2022,36,M,910666
2022,36,F,980537
2022,37,M,881387
2022,37,F,965372
2022,38,M,849259
2022,38,F,948139
2022,39,M,817028
2022,39,F,929999
2022,40,M,787831
2022,40,F,912279
2022,41,M,764131
2022,41,F,896251
2022,42,M,747052
2022,42,F,882925
2022,43,M,736132
2022,43,F,872332
2022,44,M,730922
2022,44,F,864786
2022,45,M,730510
2022,45,F,860105
2022,46,M,732294
2022,46,F,856250
2022,47,M,731894
2022,47,F,848984
2022,48,M,726873
2022,48,F,836071
2022,49,M,717306
2022,49,F,818297
2022,50,M,704109
2022,50,F,797217
2022,51,M,688339
2022,51,F,774339
2022,52,M,670813
2022,52,F,750469
2022,53,M,652550
2022,53,F,726630
2022,54,M,633603
2022,54,F,703079
2022,55,M,614164
2022,55,F,679916
2022,56,M,595042
2022,56,F,657867
2022,57,M,575778
2022,57,F,636327
2022,58,M,554667
2022,58,F,613266
2022,59,M,531622
2022,59,F,588509
2022,60,M,507955
2022,60,F,563473
2022,61,M,484042
2022,61,F,538348
2022,62,M,459454
2022,62,F,512435
2022,63,M,434390
2022,63,F,486055
2022,64,M,409598
2022,64,F,460120
2022,65,M,386062
2022,65,F,435570
2022,66,M,363683
2022,66,F,412236
2022,67,M,341006
2022,67,F,388302
2022,68,M,316675
2022,68,F,362409
2022,69,M,293156
2022,69,F,337093
2022,70,M,272565
2022,70,F,314604
2022,71,M,254471
2022,71,F,294813
2022,72,M,239581
2022,72,F,278691
2022,73,M,226120
2022,73,F,264278
2022,74,M,212382
2022,74,F,249435
2022,75,M,198557
2022,75,F,234357
2022,76,M,184752
2022,76,F,219222
2022,77,M,171034
2022,77,F,204159
2022,78,M,156977
2022,78,F,188673
2022,79,M,142975
2022,79,F,173145
2022,80,M,129984
2022,80,F,158616
2022,81,M,117603
2022,81,F,144587
2022,82,M,105506
2022,82,F,130694
2022,83,M,93985
2022,83,F,117316
2022,84,M,83207
2022,84,F,104623
2022,85,M,73216
2022,85,F,92666
2022,86,M,64025
2022,86,F,81515
2022,87,M,55668
2022,87,F,71267
2022,88,M,48069
2022,88,F,61811
2022,89,M,41101
2022,89,F,52909
2022,90,M,34740
2022,90,F,44582
2022,91,M,29006
2022,91,F,37020
2022,92,M,23934
2022,92,F,30438
2022,93,M,19490
2022,93,F,24778
2022,94,M,15657
2022,94,F,19877
2022,95,M,12294
2022,95,F,15496
