year,tfr_generated_mean,tfr_generated_sd,tfr_falsification_mean,tfr_observed
2011,0.993125,0.0550717335239534,1.066625,1.87
2012,1.03775,0.034618756958234805,1.1834375,1.84
2013,1.077125,0.05152851152517415,1.3111875,1.76
2014,1.1659374999999998,0.023882852111923338,1.3549375000000001,1.78
2015,1.2009375,0.042993882801316385,1.3956250000000001,1.77
2016,1.23375,0.024789950921021788,1.4415625,1.71
2017,1.2801250000000002,0.0604447061370969,1.4835625,1.67
2018,1.2915,0.059448507130120544,1.4450625000000001,1.66
2019,1.2936874999999999,0.0497520414154032,1.551375,1.56
2020,1.3566874999999998,0.02848345645575107,1.5146249999999999,1.41
2021,1.3151249999999999,0.021599093345169237,1.5478750000000001,1.32
2022,1.365,0.015256146302392283,1.5483125,1.3
2023,1.2998125,0.04462500000000001,1.528625,1.22
2024,1.3190625,0.04483040960107328,1.5316875,1.12
