year,tfr_generated_mean,tfr_generated_sd,tfr_falsification_mean,tfr_observed
2010,NaN,0.0,NaN,1.83
2011,1.3430752554399548,0.02796348016116254,1.3915136899430225,1.87
2012,1.3124437615438718,0.025988575274108527,1.4008800237847903,1.84
2013,1.2934354326896507,0.022486194133406634,1.4449108121166554,1.76
2014,1.2497714115774952,0.029372861854516957,1.4723285650257907,1.78
2015,1.2324133887272564,0.038819508577218984,1.467673953969359,1.77
2016,1.2104219596516057,0.02441678985637619,1.483673579202722,1.71
2017,1.1965380277789086,0.02795341025450281,1.489548864658886,1.67
2018,1.1677829744269104,0.024046198150211258,1.5087307368697476,1.66
2019,1.1439328521695602,0.0207022684732618,1.5111288352857888,1.56
2020,1.1136208293777095,0.02046554023647586,1.5281215851974919,1.41
2021,1.1050891739525301,0.029645923949360574,1.518871984646915,1.32
2022,1.09017630554819,0.03339497187886637,1.5337099704944923,1.3
2023,1.064515155935643,0.022028392417280263,1.5372739553979355,1.22
2024,1.063851356622444,0.031232729927153327,1.533104279814854,1.12
