year,norm_on,norm_off
2010,NaN,NaN
2011,1.117567657782225,1.143290937607461
2012,1.0833835315526408,1.1244991463663674
2013,1.069200777357885,1.1544789632704389
2014,1.028395636512951,1.168076452779653
2015,1.0061221363117578,1.1596865702836912
2016,0.98936022083483,1.161723922696845
2017,0.9738326556514376,1.1602205649583635
2018,0.9489638638613948,1.1786659352998454
2019,0.9282481998916359,1.1793522184582383
2020,0.9005549623499721,1.1919363195668053
2021,0.891503992454207,1.1819622433020656
2022,0.8756680528665169,1.195266828708013
2023,0.8541030023784975,1.1963416974894636
2024,0.8553859125898687,1.1926396953399467
