year,tfr_generated_mean,tfr_generated_sd,tfr_falsification_mean,tfr_observed
2010,NaN,0.0,NaN,1.83
2011,1.117567657782225,0.02586542372040011,1.143290937607461,1.87
2012,1.0833835315526408,0.023678816227152316,1.1244991463663674,1.84
2013,1.069200777357885,0.02151700341847486,1.1544789632704389,1.76
2014,1.028395636512951,0.0266538039842791,1.168076452779653,1.78
2015,1.0061221363117578,0.03127006781426718,1.1596865702836912,1.77
2016,0.98936022083483,0.023356508922595443,1.161723922696845,1.71
2017,0.9738326556514376,0.021839314069366046,1.1602205649583635,1.67
2018,0.9489638638613948,0.019015067576815627,1.1786659352998454,1.66
2019,0.9282481998916359,0.02496899965617913,1.1793522184582383,1.56
2020,0.9005549623499721,0.02079790691829373,1.1919363195668053,1.41
2021,0.891503992454207,0.02709096472941614,1.1819622433020656,1.32
2022,0.8756680528665169,0.025762220076590413,1.195266828708013,1.3
2023,0.8541030023784975,0.017916264945720968,1.1963416974894636,1.22
2024,0.8553859125898687,0.02829858373724362,1.1926396953399467,1.12
