year,series,value,sd
2010,generated_norm_on,NaN,0.0
2010,generated_norm_off,NaN,
2010,observed,1.83,
2011,generated_norm_on,1.117567657782225,0.02586542372040011
2011,generated_norm_off,1.143290937607461,
2011,observed,1.87,
2012,generated_norm_on,1.0833835315526408,0.023678816227152316
2012,generated_norm_off,1.1244991463663674,
2012,observed,1.84,
2013,generated_norm_on,1.069200777357885,0.02151700341847486
2013,generated_norm_off,1.1544789632704389,
2013,observed,1.76,
2014,generated_norm_on,1.028395636512951,0.0266538039842791
2014,generated_norm_off,1.168076452779653,
2014,observed,1.78,
2015,generated_norm_on,1.0061221363117578,0.03127006781426718
2015,generated_norm_off,1.1596865702836912,
2015,observed,1.77,
2016,generated_norm_on,0.98936022083483,0.023356508922595443
2016,generated_norm_off,1.161723922696845,
2016,observed,1.71,
2017,generated_norm_on,0.9738326556514376,0.021839314069366046
2017,generated_norm_off,1.1602205649583635,
2017,observed,1.67,
2018,generated_norm_on,0.9489638638613948,0.019015067576815627
2018,generated_norm_off,1.1786659352998454,
2018,observed,1.66,
2019,generated_norm_on,0.9282481998916359,0.02496899965617913
2019,generated_norm_off,1.1793522184582383,
2019,observed,1.56,
2020,generated_norm_on,0.9005549623499721,0.02079790691829373
2020,generated_norm_off,1.1919363195668053,
2020,observed,1.41,
2021,generated_norm_on,0.891503992454207,0.02709096472941614
2021,generated_norm_off,1.1819622433020656,
2021,observed,1.32,
2022,generated_norm_on,0.8756680528665169,0.025762220076590413
2022,generated_norm_off,1.195266828708013,
2022,observed,1.3,
2023,generated_norm_on,0.8541030023784975,0.017916264945720968
2023,generated_norm_off,1.1963416974894636,
2023,observed,1.22,
2024,generated_norm_on,0.8553859125898687,0.02829858373724362
2024,generated_norm_off,1.1926396953399467,
2024,observed,1.12,
