archivo_origen,CVEENT,entidad,beneficiarios,intervenciones,dependencias,padrones,programas,periodo,periodo_cve,trimestre,anio,fecha,entidad_etiqueta,entidad_etq
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,21,PUEBLA,2021173,8773825.0,5,9,8,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,PUEBLA,Puebla
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,22,QUERÉTARO,266890,3154270.0,5,8,7,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,QUERÉTARO,Querétaro
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,23,QUINTANA ROO,132812,1285958.0,11,18,18,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,QUINTANA ROO,Quintana Roo
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,24,SAN LUIS POTOSÍ,1074255,5669565.0,5,8,7,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,SAN LUIS POTOSÍ,San Luis Potosí
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,25,SINALOA,672966,3557862.0,5,8,7,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,SINALOA,Sinaloa
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,26,SONORA,294883,2235917.0,6,9,8,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,SONORA,Sonora
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,27,TABASCO,309576,2469470.0,5,9,8,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,TABASCO,Tabasco
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,28,TAMAULIPAS,591326,2105620.0,5,8,7,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,TAMAULIPAS,Tamaulipas
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,29,TLAXCALA,220096,3050489.0,4,7,6,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,TLAXCALA,Tlaxcala
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,30,VERACRUZ DE IGNACIO DE LA LLAVE,2511154,8728181.0,6,10,9,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,VERACRUZ,Veracruz
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,31,YUCATÁN,718378,2736178.0,6,10,9,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,YUCATÁN,Yucatán
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,32,ZACATECAS,717008,5094802.0,5,7,7,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,ZACATECAS,Zacatecas
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,99,NO ESPECIFICADO,13,36.0,2,2,2,Trimestre : Enero - Marzo 2019 / Corte : 231030,2019T1,Enero-Marzo,2019,2019-03-31,NO ESPECIFICADO,No Especificado
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,1,AGUASCALIENTES,196341,2167149.0,7,12,11,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,AGUASCALIENTES,Aguascalientes
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,2,BAJA CALIFORNIA,396148,2538379.0,7,19,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,BAJA CALIFORNIA,Baja California
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,3,BAJA CALIFORNIA SUR,120424,1345102.0,7,13,12,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,BAJA CALIFORNIA SUR,Baja California Sur
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,4,CAMPECHE,313863,1780670.0,7,17,13,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,CAMPECHE,Campeche
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,5,COAHUILA DE ZARAGOZA,592134,3106042.0,8,14,13,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,COAHUILA,Coahuila
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,6,COLIMA,130189,1286843.0,8,15,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,COLIMA,Colima
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,7,CHIAPAS,3108126,11917860.0,8,19,15,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,CHIAPAS,Chiapas
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,8,CHIHUAHUA,754946,4723438.0,8,19,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,CHIHUAHUA,Chihuahua
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,9,CIUDAD DE MÉXICO,2198303,36453059.0,7,18,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,CIUDAD DE MÉXICO,Ciudad de México
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,10,DURANGO,672579,5336894.0,8,18,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,DURANGO,Durango
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,11,GUANAJUATO,978440,11252348.0,7,15,12,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,GUANAJUATO,Guanajuato
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,12,GUERRERO,1163120,10656453.0,8,19,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,GUERRERO,Guerrero
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,13,HIDALGO,1290348,9215687.0,10,23,19,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,HIDALGO,Hidalgo
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,14,JALISCO,1243206,15246587.0,8,19,14,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,JALISCO,Jalisco
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,15,MÉXICO,3915893,72748361.0,8,20,15,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,ESTADO DE MÉXICO,Estado de México
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,16,MICHOACÁN DE OCAMPO,2010628,12448266.0,8,18,13,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,MICHOACÁN,Michoacán
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,17,MORELOS,382008,4858009.0,6,17,12,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,MORELOS,Morelos
bienestar_padron_unico__Padrón_único_de_beneficiarios_consolidado_po.csv,18,NAYARIT,448389,4829052.0,8,18,13,Trimestre : Abril - Junio 2019 / Corte : 231030,2019T2,Abril-Junio,2019,2019-06-30,NAYARIT,Nayarit
