archivo_origen,anio,mes,entidad,sexo,modalidad,sector,personas
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Coahuila,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,28653
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,San Luis Potosi,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,28481
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Mexico,H,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,27017
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Hidalgo,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,26123
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Sonora,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,24781
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Morelos,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,24552
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Baja California,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,24397
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Puebla,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,23317
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Entidad Desconocida,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,22323
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Tabasco,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,21226
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Queretaro,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,20759
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Yucatan,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,19130
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Durango,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,19022
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Entidad Desconocida,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,18934
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Quintana Roo,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,18563
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Tamaulipas,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,18462
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Tlaxcala,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,18250
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Guanajuato,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,17796
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Mexico,H,Todos Los Seguros Prestaciones y Servicios,Gobierno Estatal,17634
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Zacatecas,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,17343
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Sinaloa,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,16660
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,San Luis Potosi,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,16172
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Mexico,H,Todos Los Seguros Prestaciones y Servicios,Dependencia Federal,16043
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Chihuahua,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,15971
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Aguascalientes,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,15510
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Coahuila,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,15433
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Nuevo Leon,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,15310
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Nayarit,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,15245
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Sonora,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,14869
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Durango,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,14678
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Quintana Roo,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,14268
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Mexico,M,Todos Los Seguros Prestaciones y Servicios,Dependencia Federal,13991
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Morelos,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,13899
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Mexico,M,Todos Los Seguros Prestaciones y Servicios,Gobierno Estatal,13816
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Baja California,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,13338
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Baja California Sur,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,13236
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Yucatan,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,12883
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Tabasco,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,12476
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Zacatecas,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,11592
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,H,Servicio Medico del Seguro de Salud y Sar,Gobierno Estatal,10939
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Colima,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,10277
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Campeche,M,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,10227
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Tlaxcala,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,10211
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,M,Todos Los Seguros Prestaciones y Servicios,Poderes Legislativo y Judicial,9665
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Queretaro,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,9461
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Baja California Sur,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,9433
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,H,Todos Los Seguros Prestaciones y Servicios,Poderes Legislativo y Judicial,9402
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,M,Todos Los Seguros Prestaciones y Servicios,Organismo Autonomo,9012
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Nayarit,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,8680
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,H,Todos Los Seguros Prestaciones y Servicios,Organismo Autonomo,8654
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Guanajuato,M,Seguro de Salud (solo Servicio Medico),Gobierno Estatal,8111
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Aguascalientes,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,8040
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Campeche,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,7784
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Baja California Sur,H,Todos Los Seguros Prestaciones y Servicios,Municipio,7607
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Ciudad de Mexico,M,Servicio Medico del Seguro de Salud y Sar,Gobierno Estatal,7343
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Hidalgo,H,Todos Los Seguros Prestaciones y Servicios,Gobierno Estatal,6790
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Colima,H,Todos Los Seguros Prestaciones y Servicios,Organismo Descentralizado,5957
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Hidalgo,M,Todos Los Seguros Prestaciones y Servicios,Gobierno Estatal,5568
issste_derechohabientes__Padrón_de_Derechohabientes_Activos__julio__2__agregado.csv,2026,7,Veracruz,M,Todos Los Seguros Prestaciones y Servicios,Organo Desconcentrado,5382
